method,threads,time,graph,nodes

serial,1,0.000003,../data/mycielskian5.mtx,23
serial,1,0.000002,../data/mycielskian5.mtx,23
openmp,16,0.001877,../data/mycielskian5.mtx,23
opencilk,4,0.000462,../data/mycielskian5.mtx,23
pthreads,16,0.002114,../data/mycielskian5.mtx,23
serial,1,0.000004,../data/mycielskian5.mtx,23
openmp,16,0.001316,../data/mycielskian5.mtx,23
opencilk,4,0.000574,../data/mycielskian5.mtx,23
pthreads,16,0.002616,../data/mycielskian5.mtx,23
serial,1,0.000003,../data/mycielskian5.mtx,23
openmp,16,0.001915,../data/mycielskian5.mtx,23
opencilk,4,0.000794,../data/mycielskian5.mtx,23
pthreads,16,0.002742,../data/mycielskian5.mtx,23
serial,1,0.000002,../data/mycielskian5.mtx,23
openmp,16,0.002282,../data/mycielskian5.mtx,23
opencilk,4,0.000668,../data/mycielskian5.mtx,23
pthreads,16,0.002301,../data/mycielskian5.mtx,23
